location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,new_tested,population_largest_city,population_clustered,human_capital_index,area_rural_sq_km,area_urban_sq_km,life_expectancy,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,hospital_beds_per_1000,subregion1_code,subregion1_name,new_recovered,cumulative_recovered,elevation_m,new_hospitalized_patients,cumulative_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_tested_age_0,new_tested_age_1,new_tested_age_2,new_tested_age_3,new_tested_age_4,new_tested_age_5,new_tested_age_6,new_tested_age_7,new_tested_age_8,new_tested_age_9,cumulative_tested_age_0,cumulative_tested_age_1,cumulative_tested_age_2,cumulative_tested_age_3,cumulative_tested_age_4,cumulative_tested_age_5,cumulative_tested_age_6,cumulative_tested_age_7,cumulative_tested_age_8,cumulative_tested_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,new_intensive_care_patients_age_0,new_intensive_care_patients_age_1,new_intensive_care_patients_age_2,new_intensive_care_patients_age_3,new_intensive_care_patients_age_4,new_intensive_care_patients_age_5,new_intensive_care_patients_age_6,new_intensive_care_patients_age_7,new_intensive_care_patients_age_8,new_intensive_care_patients_age_9,cumulative_intensive_care_patients_age_0,cumulative_intensive_care_patients_age_1,cumulative_intensive_care_patients_age_2,cumulative_intensive_care_patients_age_3,cumulative_intensive_care_patients_age_4,cumulative_intensive_care_patients_age_5,cumulative_intensive_care_patients_age_6,cumulative_intensive_care_patients_age_7,cumulative_intensive_care_patients_age_8,cumulative_intensive_care_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,new_deceased_male,new_deceased_female,cumulative_deceased_male,cumulative_deceased_female,new_tested_male,new_tested_female,cumulative_tested_male,cumulative_tested_female,new_hospitalized_patients_male,new_hospitalized_patients_female,cumulative_hospitalized_patients_male,cumulative_hospitalized_patients_female,new_intensive_care_patients_male,new_intensive_care_patients_female,cumulative_intensive_care_patients_male,cumulative_intensive_care_patients_female,subregion2_code,subregion2_name,current_hospitalized_patients,current_intensive_care_patients,current_ventilator_patients,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_actinic_keratosis,search_trends_acute_bronchitis,search_trends_adrenal_crisis,search_trends_ageusia,search_trends_alcoholism,search_trends_allergic_conjunctivitis,search_trends_allergy,search_trends_amblyopia,search_trends_amenorrhea,search_trends_amnesia,search_trends_anal_fissure,search_trends_anaphylaxis,search_trends_anemia,search_trends_angina_pectoris,search_trends_angioedema,search_trends_angular_cheilitis,search_trends_anosmia,search_trends_anxiety,search_trends_aphasia,search_trends_aphonia,search_trends_apnea,search_trends_arthralgia,search_trends_arthritis,search_trends_ascites,search_trends_asperger_syndrome,search_trends_asphyxia,search_trends_asthma,search_trends_astigmatism,search_trends_ataxia,search_trends_atheroma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_auditory_hallucination,search_trends_autoimmune_disease,search_trends_avoidant_personality_disorder,search_trends_back_pain,search_trends_bacterial_vaginosis,search_trends_balance_disorder,search_trends_beaus_lines,search_trends_bells_palsy,search_trends_biliary_colic,search_trends_binge_eating,search_trends_bleeding,search_trends_bleeding_on_probing,search_trends_blepharospasm,search_trends_bloating,search_trends_blood_in_stool,search_trends_blurred_vision,search_trends_blushing,search_trends_boil,search_trends_bone_fracture,search_trends_bone_tumor,search_trends_bowel_obstruction,search_trends_bradycardia,search_trends_braxton_hicks_contractions,search_trends_breakthrough_bleeding,search_trends_breast_pain,search_trends_bronchitis,search_trends_bruise,search_trends_bruxism,search_trends_bunion,search_trends_burn,search_trends_burning_chest_pain,search_trends_burning_mouth_syndrome,search_trends_candidiasis,search_trends_canker_sore,search_trends_cardiac_arrest,search_trends_carpal_tunnel_syndrome,search_trends_cataplexy,search_trends_cataract,search_trends_chancre,search_trends_cheilitis,search_trends_chest_pain,search_trends_chills,search_trends_chorea,search_trends_chronic_pain,search_trends_cirrhosis,search_trends_cleft_lip_and_cleft_palate,search_trends_clouding_of_consciousness,search_trends_cluster_headache,search_trends_colitis,search_trends_coma,search_trends_common_cold,search_trends_compulsive_behavior,search_trends_compulsive_hoarding,search_trends_confusion,search_trends_congenital_heart_defect,search_trends_conjunctivitis,search_trends_constipation,search_trends_convulsion,search_trends_cough,search_trends_crackles,search_trends_cramp,search_trends_crepitus,search_trends_croup,search_trends_cyanosis,search_trends_dandruff,search_trends_delayed_onset_muscle_soreness,search_trends_dementia,search_trends_dentin_hypersensitivity,search_trends_depersonalization,search_trends_depression,search_trends_dermatitis,search_trends_desquamation,search_trends_developmental_disability,search_trends_diabetes,search_trends_diabetic_ketoacidosis,search_trends_diarrhea,search_trends_dizziness,search_trends_dry_eye_syndrome,search_trends_dysautonomia,search_trends_dysgeusia,search_trends_dysmenorrhea,search_trends_dyspareunia,search_trends_dysphagia,search_trends_dysphoria,search_trends_dystonia,search_trends_dysuria,search_trends_ear_pain,search_trends_eczema,search_trends_edema,search_trends_encephalitis,search_trends_encephalopathy,search_trends_epidermoid_cyst,search_trends_epilepsy,search_trends_epiphora,search_trends_erectile_dysfunction,search_trends_erythema,search_trends_erythema_chronicum_migrans,search_trends_esophagitis,search_trends_excessive_daytime_sleepiness,search_trends_eye_pain,search_trends_eye_strain,search_trends_facial_nerve_paralysis,search_trends_facial_swelling,search_trends_fasciculation,search_trends_fatigue,search_trends_fatty_liver_disease,search_trends_fecal_incontinence,search_trends_fever,search_trends_fibrillation,search_trends_fibrocystic_breast_changes,search_trends_fibromyalgia,search_trends_flatulence,search_trends_floater,search_trends_focal_seizure,search_trends_folate_deficiency,search_trends_food_craving,search_trends_food_intolerance,search_trends_frequent_urination,search_trends_gastroesophageal_reflux_disease,search_trends_gastroparesis,search_trends_generalized_anxiety_disorder,search_trends_genital_wart,search_trends_gingival_recession,search_trends_gingivitis,search_trends_globus_pharyngis,search_trends_goitre,search_trends_gout,search_trends_grandiosity,search_trends_granuloma,search_trends_guilt,search_trends_hair_loss,search_trends_halitosis,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heart_murmur,search_trends_heartburn,search_trends_hematochezia,search_trends_hematoma,search_trends_hematuria,search_trends_hemolysis,search_trends_hemoptysis,search_trends_hemorrhoids,search_trends_hepatic_encephalopathy,search_trends_hepatitis,search_trends_hepatotoxicity,search_trends_hiccup,search_trends_hip_pain,search_trends_hives,search_trends_hot_flash,search_trends_hydrocephalus,search_trends_hypercalcaemia,search_trends_hypercapnia,search_trends_hypercholesterolemia,search_trends_hyperemesis_gravidarum,search_trends_hyperglycemia,search_trends_hyperhidrosis,search_trends_hyperkalemia,search_trends_hyperlipidemia,search_trends_hypermobility,search_trends_hyperpigmentation,search_trends_hypersomnia,search_trends_hypertension,search_trends_hyperthermia,search_trends_hyperthyroidism,search_trends_hypertriglyceridemia,search_trends_hypertrophy,search_trends_hyperventilation,search_trends_hypocalcaemia,search_trends_hypochondriasis,search_trends_hypoglycemia,search_trends_hypogonadism,search_trends_hypokalemia,search_trends_hypomania,search_trends_hyponatremia,search_trends_hypotension,search_trends_hypothyroidism,search_trends_hypoxemia,search_trends_hypoxia,search_trends_impetigo,search_trends_implantation_bleeding,search_trends_impulsivity,search_trends_indigestion,search_trends_infection,search_trends_inflammation,search_trends_inflammatory_bowel_disease,search_trends_ingrown_hair,search_trends_insomnia,search_trends_insulin_resistance,search_trends_intermenstrual_bleeding,search_trends_intracranial_pressure,search_trends_iron_deficiency,search_trends_irregular_menstruation,search_trends_itch,search_trends_jaundice,search_trends_kidney_failure,search_trends_kidney_stone,search_trends_knee_pain,search_trends_kyphosis,search_trends_lactose_intolerance,search_trends_laryngitis,search_trends_leg_cramps,search_trends_lesion,search_trends_leukorrhea,search_trends_lightheadedness,search_trends_low_back_pain,search_trends_low_grade_fever,search_trends_lymphedema,search_trends_major_depressive_disorder,search_trends_malabsorption,search_trends_male_infertility,search_trends_manic_disorder,search_trends_melasma,search_trends_melena,search_trends_meningitis,search_trends_menorrhagia,search_trends_middle_back_pain,search_trends_migraine,search_trends_milium,search_trends_mitral_insufficiency,search_trends_mood_disorder,search_trends_mood_swing,search_trends_morning_sickness,search_trends_motion_sickness,search_trends_mouth_ulcer,search_trends_muscle_atrophy,search_trends_muscle_weakness
US_IN_18077,1/1/2021,ChIJBbYDREQ6aogRHM1QHC44fkI,Q1139839,geoId/18077,US,United States of America,US,USA,2,5,3,2254,39,,,,,,,,32013,15456,16557,,,,,3555,4009,4241,3689,4005,4699,4114,2458,1243,,,1804289,38.79,-85.44,940,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.172222,-1.288889,12.372222,5.672667,,1.0625,85.560049,,,,,,,75.571429,,,,,-37,-33,,,-74,27,,IN,Indiana,,,,,,,,0,0,0,0,0,4,0,1,0,0,11,30,74,162,69,341,298,296,384,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 to <1,1-4,5-11,12-17,18-19,20-29,30-39,40-49,50-59,60-69,2,3,1019,1226,,,,,,,,,,,,,,,,,18077,Jefferson County,,,,,3.63,4.09,,,,,,,7.72,,,,,,,,,,,4.54,,,,,3.86,,,,,,,,,,,,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.85,,,,,,,,3.63,,,,,,,,,,,,,,,7.95,,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36,,,,,,,,,,,,,,,,,,,,,15.44,4.77,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,4.09,,,,,,,,,
US_VA_51520,1/1/2021,ChIJbda4S0Z0UIgR8dvXSHnGl_0,Q503366,geoId/51520,US,United States of America,US,USA,2,21,0,938,8,,,,,,,,16880,8016,8864,,,,,1896,1913,2055,2049,2052,2274,2179,1527,935,,,3864677,36.6111,-82.1762,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.512346,2.95679,12.888889,2.667,,6.623457,94.260218,,,,,,,73.775,,,,,-22,-19,,,-62,,,VA,Virginia,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51520,Bristol,,,,,,8.42,,,,,,,10.78,,,,,,,,,,,9.44,,,,,,,,,,,,,,,,,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.14,,,,,,,,,,,,,,,,,,,,,,,10.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.75,,,,,,,,,,,,,,,,,,,,,17.19,6.74,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OK_40109,1/1/2021,ChIJXSnUOq51socRzM5aZGuXVb4,Q485038,geoId/40109,US,United States of America,US,USA,2,0,0,57993,441,,,,,,,,786068,384854,401214,,,,,116859,103500,115923,114381,91553,94311,80609,43791,25141,,,1822232,35.48,-97.53,1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141975,-0.981481,1.296296,24.553333,78.74,-0.864198,92.991483,,,,,,,75.366977,,,,,-59,-44,-49,-52,-77,30,,OK,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40109,Oklahoma County,,,,2.03,4.64,7.36,0.26,0.22,0.17,0.48,4.75,,8.57,0.14,,0.37,0.19,0.32,1.41,0.46,0.19,,0.52,6.05,,,0.28,0.25,3.83,,0.99,,1.59,0.31,,,2.18,,1.08,0.21,4.16,1.01,0.13,0.22,0.61,0.25,0.29,3.36,0.15,0.29,1.89,0.4,0.34,0.18,0.85,2,0.1,0.12,0.57,0.28,0.59,0.52,0.48,1.26,0.22,0.42,1.48,,0.16,2.1,0.95,0.25,0.71,,0.28,0.15,0.25,1.34,0.25,,0.52,0.37,0.1,,0.11,0.31,0.33,8.38,0.49,0.11,0.23,,0.5,3.12,0.25,4.22,,2.84,,0.17,0.1,1.26,0.41,1.71,0.31,,3.55,1.96,0.31,,5.42,0.14,3.34,1.57,0.39,,0.22,1.19,0.15,0.22,0.1,0.12,,0.52,0.19,0.52,0.17,,0.2,1.54,0.1,2.39,0.43,0.18,,0.2,0.19,0.28,0.52,0.17,0.54,3.04,0.26,,3.15,0.28,,0.47,2.06,0.19,,,0.49,0.51,0.31,3.32,0.18,0.73,0.81,,0.33,0.1,,0.7,0.19,,0.19,4.66,0.62,1.2,4.29,1.35,0.11,2.71,0.15,0.19,0.27,,,1.22,,0.55,0.12,0.58,0.74,1.01,0.51,0.13,,,0.8,0.24,0.92,0.37,0.39,,0.17,0.79,,4.54,0.36,0.66,0.12,0.17,,,,0.65,0.72,0.52,0.17,0.22,0.89,1.17,0.64,0.19,,1.09,0.31,1.49,15.93,4.38,0.76,0.62,2.51,0.27,0.16,0.24,1.13,0.44,5.82,0.31,0.87,0.99,0.96,,0.64,,0.48,0.62,0.19,0.45,2.44,0.25,0.12,2.59,0.18,,0.5,0.25,0.27,0.12,0.53,0.3,3.66,0.21,,0.69,0.19,0.98,0.26,0.81,,0.16
US_NE_31185,1/1/2021,ChIJLcNMqXhFl4cRl_HkEUbkSb0,Q489648,geoId/31185,US,United States of America,US,USA,2,41,0,1386,10,,,,,,,,13762,6739,7023,,,,,1793,1797,1744,1601,1366,1797,1748,1085,831,,,1425436,40.87,-97.6,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.283333,-10.233333,0.255556,0.1016,85.513333,-7.409722,84.987649,,,,,,,79.5,,,,,-30,,,-16,-74,,,NE,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31185,York County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WV_54029,1/1/2021,ChIJifj7U4Y8NIgR8SIuaU7BjuY,Q504863,geoId/54029,US,United States of America,US,USA,2,85,1,1922,42,,,,,,,,29383,14328,15055,,,,,2907,3226,2993,3117,3816,4367,4529,2583,1845,,,1910158,40.52,-80.58,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.209877,-2.148148,4.197531,2.63525,30.48,-2.679012,83.501146,,,,,,,75.6375,,,,,-55,-43,,,-68,26,,WV,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54029,Hancock County,,,,,6.47,5.22,,,,,5.64,,6.89,,,,,,,,,,,7.93,,,,,5.64,,,,,,,,,,,,5.01,,,,,,,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.81,,,,,,,,5.22,,,,,,,,,,,3.13,,,,5.43,,5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,,,4.17,,,,,,,,,,,4.17,,,,,,,,,,,,,,,5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,17.12,3.34,,,,,,,,,7.72,,,,,,,,,,,,,,,,,,,,,,,,4.38,,,,,,,,,
US_CO_08117,1/1/2021,ChIJu4HI4ohcaocRaP8eOJik0GI,Q312453,geoId/08117,US,United States of America,US,USA,2,9,0,2143,5,,,,,,,,30820,16702,14118,,,,,2887,2591,5092,5365,4566,4171,3975,1752,421,,,441008,39.6356,-106.10235,1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.833333,-13.333333,-1.808642,0.028222,,-13.069444,66.497072,,,,,,,82.05,,,,,-31,-21,28,-8,-56,22,,CO,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08117,Summit County,,,,1.59,4.33,5.98,,,,,5.25,,6.66,,,,,,0.92,,,,,5.19,,,,,2.81,,,,0.85,,,,2.62,,1.04,,4.52,,,,,,,2.32,,,1.59,,,,,6.04,,,,,,,,2.87,,,1.77,,,1.4,,,,,,,,1.47,,,,,,,,,,6.59,,,,,,3.17,,2.2,,2.87,,,,,,1.47,,,2.5,1.16,,,2.99,,3.66,1.59,,,,,,,,,,,,,,,,1.4,,1.77,,,,,,,,,,2.81,,,3.3,,,,3.11,,,,,,,2.75,,,,,,,,,,,,4.09,,0.98,5.01,1.16,,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,4.52,,,,,,,,,,,,,,1.16,,,,,,,10.99,2.93,,,2.44,,,,,,4.27,,,,,,,,,,,,3.24,,,1.71,,,,,,,,,3.91,,,,,,,,,
US_OR_41009,1/1/2021,ChIJ-x6KRu0DlVQRQtaUqbqKMwE,Q484385,geoId/41009,US,United States of America,US,USA,2,6,1,843,15,,,,,,,,51724,25836,25888,,,,,5812,6413,5646,6117,6599,7737,7304,4174,1922,,,1837107,45.95,-123.08,1783,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.013889,7.645833,11.5625,2.54,,6.968254,86.806919,,,,,,,78.72,,,,,-48,-24,-6,,-74,24,,OR,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41009,Columbia County,,,,,3.04,4.5,,,,,4.29,,7.12,,,,,,,,,,,4.82,,,,,4.4,,,,1.88,,,,3.45,,,,3.77,,,,,,,3.04,,,,,,,,,,,,,,,,,,,,,,1.99,,,,,,,,,,,,,,,,,,3.45,,,,,,1.68,,2.2,,2.83,,,,,,,,,3.35,,,,5.44,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,,2.62,,,,1.57,,,,,,,2.51,,,,,,,,,,,,2.72,,,4.08,,,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,3.66,,,,,,,,,,,,,,,,,,,,,16.33,4.71,,,1.78,,,,,,4.92,,,,,,,,,,,,1.57,,,2.3,,,,,,,,,3.45,,,,,,,,,
US_SD_46057,1/1/2021,ChIJXXXf0uMuiIcRHJ4BdsiX_nI,Q495223,geoId/46057,US,United States of America,US,USA,2,0,0,606,34,,,,,,,,5998,3069,2929,,,,,1057,969,685,619,642,728,658,350,290,,,1739817,44.68,-97.2,1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.866667,-14.188889,-2.494444,0,143.086667,-10.522222,87.90515,,,,,,,81.7,,,,,,,,,-62,,,SD,South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46057,Hamlin County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IA_19181,1/1/2021,ChIJeSYuu7Kv7ocRv6438SF7Ah8,Q112737,geoId/19181,US,United States of America,US,USA,2,26,0,3836,34,,,,,,,,50078,24644,25434,,,,,6500,7395,5930,6388,6301,6825,5603,3271,1865,,,1783156,41.33,-93.56,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.027778,-8.827778,-3.688889,0,200.66,-7.148148,91.687633,,,,,,,79.716667,,,,,-25,-42,,,-76,24,,IA,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19181,Warren County,,,,1.84,3.68,6.01,,,,,5.03,,7.85,,,,,,,,,,,5.27,,,,,4.91,,,,,,,,1.84,,,,4.17,,,,,,,3.19,,,,,,,,1.72,,,,,,,,,,,,,,3.19,,,,,,,,,,,,,,,,,,7.36,,,,,,2.45,,3.68,,2.94,,,,,,,,,2.94,,,,7.85,,3.56,,,,,,,,,,,,,,,,,,,2.45,,,,,,,,,,2.33,,,2.94,,,,,,,,,,,3.19,,,,,,,,,,,,4.42,,,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54,,,,,,,,,,,,,,,,,,,,,17.17,3.56,,,2.94,,,,,,3.92,,,,,,,,,,,,3.8,,,2.21,,,,,,,,,3.19,,,,,,,,,
US_GA_13037,1/1/2021,ChIJt_ydfchf7YgRJHJ9yU71gdk,Q156632,geoId/13037,US,United States of America,US,USA,2,9,0,371,11,,,,,,,,6389,3858,2531,,,,,580,680,956,1007,971,847,707,375,266,,,1028122,31.53,-84.62,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.188889,16.583333,22.372222,4.92125,,18.402778,89.854008,,,,,,,77.1,,,,,,,,,,,,GA,Georgia,,,,,,,,1,0,0,0,2,1,1,1,1,1,4,1,13,45,46,69,59,52,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,9,11,16,6,6,,,,,,,,,,,,,,,,,,,,,00-04,05-09,10-17,18-29,30-39,40-49,50-59,60-69,70-79,80-,,,,,,,,,,,,,,,,,,,,,13037,Calhoun County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
